a,b,h,l,S11
12.2,12.8,4,23.5,-22.78501862
12.2,12.8,4,24,-38.12792913
12.2,12.8,4,24.5,-32.27243558
12.2,12.8,4,25,-38.06774752
12.2,12.8,4,25.5,-31.07603323
12.2,12.8,4,26,-38.51964208
12.4,12.8,4,23,-26.2167931
12.4,12.8,4,23.5,-43.97249562
12.4,12.8,4,24,-34.78274437
12.4,12.8,4,24.5,-32.13288709
12.4,12.8,4,25,-32.61739898
12.4,12.8,4,25.5,-35.02017236
12.4,12.8,4,26,-30.56332313
12.6,12.8,4,23,-45.52227341
12.6,12.8,4,23.5,-39.25004293
12.6,12.8,4,24,-31.27964979
12.6,12.8,4,24.5,-38.92786553
12.6,12.8,4,25,-31.53508804
12.6,12.8,4,25.5,-32.08325539
12.6,12.8,4,26,-31.63665718
12.8,12.8,4,23,-23.56435293
12.8,12.8,4,23.5,-30.98537498
12.8,12.8,4,24,-41.49466788
12.8,12.8,4,24.5,-33.08197241
12.8,12.8,4,25,-31.35016727
12.8,12.8,4,25.5,-33.09179725
12.8,12.8,4,26,-34.05028877
13,12.8,4,23,-31.04305782
13,12.8,4,23.5,-36.50194074
13,12.8,4,24,-46.4290562
13,12.8,4,24.5,-36.40525022
13,12.8,4,25,-30.43815971
13,12.8,4,25.5,-32.38009988
13,12.8,4,26,-39.31169956
13.2,12.8,4,23,-38.20483962
13.2,12.8,4,23.5,-30.65171665
13.2,12.8,4,24,-32.06287736
13.2,12.8,4,24.5,-43.15666458
13.2,12.8,4,25,-39.1967145
13.2,12.8,4,25.5,-32.63547091
13.2,12.8,4,26,-30.6124449
13.4,12.8,4,23,-23.35958324
13.4,12.8,4,23.5,-30.86257379
13.4,12.8,4,24,-33.68141394
13.4,12.8,4,24.5,-38.84466228
13.4,12.8,4,25,-32.62068735
13.4,12.8,4,25.5,-29.52887073
13.4,12.8,4,26,-30.67373691
13.6,12.8,4,23,-19.50630206
13.6,12.8,4,23.5,-23.55643929
13.6,12.8,4,24,-36.7153749
13.6,12.8,4,24.5,-32.71043302
13.6,12.8,4,25,-31.45659264
13.6,12.8,4,25.5,-33.33792681
13.6,12.8,4,26,-29.39024036
13.8,12.8,4,23,-20.84449109
13.8,12.8,4,23.5,-22.44578274
13.8,12.8,4,24,-30.08132867
13.8,12.8,4,24.5,-33.02293711
13.8,12.8,4,25,-30.39604717
13.8,12.8,4,25.5,-32.3387932
13.8,12.8,4,26,-31.38083262
14,12.8,4,23,-21.91604004
14,12.8,4,23.5,-24.25209557
14,12.8,4,24,-36.45527159
14,12.8,4,24.5,-32.44683683
14,12.8,4,25,-31.62150789
14,12.8,4,25.5,-31.26803793
14,12.8,4,26,-32.5268487
12,13,4,23,-39.30870296
12,13,4,23.5,-35.73315057
12,13,4,24,-31.52739109
12,13,4,24.5,-32.9932669
12,13,4,25,-32.11452951
12,13,4,25.5,-33.25946491
12,13,4,26,-43.03342165
12.2,13,4,23,-31.98311503
12.2,13,4,23.5,-50.89976081
12.2,13,4,24,-50.74330937
12.2,13,4,24.5,-30.52926125
12.2,13,4,25,-32.22306782
12.2,13,4,25.5,-33.05862097
12.2,13,4,26,-43.66886022
12.4,13,4,23,-37.05443987
12.4,13,4,23.5,-50.29913763
12.4,13,4,24,-44.24446482
12.4,13,4,24.5,-31.97485566
12.4,13,4,25,-30.83229347
12.4,13,4,25.5,-33.70901695
12.4,13,4,26,-30.59782557
12.6,13,4,23,-28.65396623
12.6,13,4,23.5,-34.16647953
12.6,13,4,24,-35.22320471
12.6,13,4,24.5,-50.03305508
12.6,13,4,25,-33.72788508
12.6,13,4,25.5,-29.6343374
12.6,13,4,26,-31.96836167
12.8,13,4,23,-25.69275781
12.8,13,4,23.5,-29.83561278
12.8,13,4,24,-45.22104487
12.8,13,4,24.5,-33.60141781
12.8,13,4,25,-39.31337751
12.8,13,4,25.5,-32.61114053
12.8,13,4,26,-30.12831577
13,13,4,23,-25.45093644
13,13,4,23.5,-25.73885655
13,13,4,24,-31.34317767
13,13,4,24.5,-38.84167802
13,13,4,25,-31.16801584
13,13,4,25.5,-30.73357318
13,13,4,26,-33.44025844
13.2,13,4,23,-21.3516666
13.2,13,4,23.5,-27.77562713
13.2,13,4,24,-36.69881847
13.2,13,4,24.5,-32.72385476
13.2,13,4,25,-29.5704504
13.2,13,4,25.5,-28.73557494
13.2,13,4,26,-43.44096808
13.4,13,4,23,-24.20472109
13.4,13,4,23.5,-24.29404925
13.4,13,4,24,-37.21693133
13.4,13,4,24.5,-29.94522304
13.4,13,4,25,-30.37451575
13.4,13,4,25.5,-32.34428414
13.4,13,4,26,-35.08763309
13.6,13,4,23,-21.53536762
13.6,13,4,23.5,-22.2027305
13.6,13,4,24,-31.26674589
13.6,13,4,24.5,-34.06083345
13.6,13,4,25,-29.4456788
13.6,13,4,25.5,-30.6175744
13.6,13,4,26,-28.52390553
13.8,13,4,23,-23.27183558
13.8,13,4,23.5,-24.33068232
13.8,13,4,24,-26.07981105
13.8,13,4,24.5,-30.87910549
13.8,13,4,25,-30.11030263
13.8,13,4,25.5,-32.013695
13.8,13,4,26,-32.35419401
14,13,4,23,-20.77375127
14,13,4,23.5,-22.70325727
14,13,4,24,-33.78735626
14,13,4,24.5,-34.17737472
14,13,4,25,-28.63708717
14,13,4,25.5,-33.54515346
14,13,4,26,-50.38233476
12,13.2,4,23,-27.31541513
12,13.2,4,23.5,-57.36741647
12,13.2,4,24,-47.97404478
12,13.2,4,24.5,-34.22874316
12,13.2,4,25,-31.57033034
12,13.2,4,25.5,-31.08842391
12,13.2,4,26,-32.05327084
12.2,13.2,4,23,-62.53491346
12.2,13.2,4,23.5,-50.07683513
12.2,13.2,4,24,-44.5386341
12.2,13.2,4,24.5,-30.65164545
12.2,13.2,4,25,-29.51962831
12.2,13.2,4,25.5,-33.01586039
12.2,13.2,4,26,-31.40643664
12.4,13.2,4,23,-31.72779418
12.4,13.2,4,23.5,-49.8136766
12.4,13.2,4,24,-40.27652548
12.4,13.2,4,24.5,-31.1623836
12.4,13.2,4,25,-34.27971828
12.4,13.2,4,25.5,-32.34051444
12.4,13.2,4,26,-39.04156605
12.6,13.2,4,23,-27.57656818
12.6,13.2,4,23.5,-30.69390919
12.6,13.2,4,24,-32.55374696
12.6,13.2,4,24.5,-34.23286451
12.6,13.2,4,25,-33.75742386
12.6,13.2,4,25.5,-29.06827649
12.6,13.2,4,26,-34.64988194
12.8,13.2,4,23,-24.16480483
12.8,13.2,4,23.5,-27.39564563
